39,39,プロローグ,神父ジムゾン,,,,,,,,,,人狼,ディタちゃん、議題を出してくれるなんて心もイケメンじゃないの。うふふ、シモンちゃんも魅力的だけどディタちゃんはやっぱりいいわね。■1.22:00～25:00頃かしら。夜明け前後は起きているよう頑張るわ。■2.仮00:15／本00:45　が良いと思うの。両陣営にフェアな時間を希望するわ。■3.過度のギスギスは避けたいわね。楽しくやりたいと思うの。■4.私ジムゾン…あなたの後ろにいるの,,,,,,,,,,,,,,,,,,,,,
40,40,プロローグ,神父ジムゾン,,,,,,,,,,人狼,ちょっと■2.について追記しておくわ。狩人の護衛先選定や人狼の襲撃先選定には時間が必要だから、その辺は同村者としてお互いフェアにいきましょう。同じ村に居合わせたのだから、陣営問わず楽しくやりましょうね。者>>37　アタシは元気よ、ディタちゃんはどうかしら？本格的に暑くなってきているけど、体調を崩していないかしら。シモちゃんには何もしていないわ、だってアタシは人畜無害ですもの。,,,,,,,,,,,,,,,,,,,,,
41,41,プロローグ,負傷兵シモン,,,,,,,,,,村人,>>33 >>34 >>36…ディーター…すまないが俺の後ろを頼むなんだかリーザに後ろを取られるのは怖いもはやリーザからは言葉にならない恐怖しか感じないんだ>>38り、リーザ…？バックからばっちこーいって…何だ？何があるのか俺にもわかりやすく教えてくれないか？,,,,,,,,,,,,,,,,,,,,,
42,42,プロローグ,少女リーザ,,,,,,,,,,狂人,私リザちゃん…今負傷兵さんの後ろにいるの…バックはあげるけど後ろにはいるの…>>41　ディーターさんを受け入れるの…これ以上は言えないの…それが定めなの…愛はさだめ、さだめは死…なの…私リザちゃん…夜まで貴方の後ろにいるの…,,,,,,,,,,,,,,,,,,,,,
43,43,プロローグ,神父ジムゾン,,,,,,,,,,人狼,妙>>38　リザちゃんこんにちは、後ろに回られそうで何となく怖いわね。アタシはポマードは使わないわよ。何故って、サラサラヘアーですもの。この集まり具合なら、今夜には始まりそうかしら。楽しみに待っているわね。アタシたちに興味を持ったそこのアナタ！　入村お待ちしているわよ。シモちゃんは、戦術云々は気にする必要はないと思うわ。夜が明けたら何かが起こりそうな気がするから、その後にしましょう。,,,,,,,,,,,,,,,,,,,,,
44,44,プロローグ,木こりトーマス,,,,,,,,,,村人,一撃離脱なんだな。とりあえず、ディタのバックをいろんな人が狙ってるのだけは把握したんだな。あと、新しく来た人はよろしくなんだな！妙>>33　ぼ、僕はぬりかべじゃないんだな！者>>36　や、ヤング騙りでもないんだな！oO(しかし、いちごミルクとは意外な選択に見えるんだな),,,,,,,,,,,,,,,,,,,,,
45,45,プロローグ,木こりトーマス,,,,,,,,,,村人,あ、読み間違い＞＜　ディタのバックじゃなくてシモンのバックだったんだな。本当に離席なんだなー！,,,,,,,,,,,,,,,,,,,,,
46,46,プロローグ,神父ジムゾン,,,,,,,,,,人狼,あらトマちゃん、こんにちは。こちらこそよろしくね。トマちゃんはぬりかべ候補＆ヤング騙り候補なのね、把握したわ。さて、ディタちゃんのバックを狙う仕事に戻るわね。また後で顔を出せると思うので、その時に来るわ。,,,,,,,,,,,,,,,,,,,,,
47,47,プロローグ,司書クララ,,,,,,,,,,村人,こわくないよー。,,,,,,,,,,,,,,,,,,,,,
48,48,プロローグ,負傷兵シモン,,,,,,,,,,村人,>>42 [壁]-；) ｺﾜｲﾖｰでぃ、ディーター、頼むから一緒にいてくれないか？リーザのいうことはよく分からないんだけど…ディーターだったらいいから！だからお願い！リーザは近づけないで。ね？ね？お願い！！>>45…トーマスは…何もしないよね？,,,,,,,,,,,,,,,,,,,,,
49,49,プロローグ,司書クララ,,,,,,,,,,村人,自己紹介とか苦手だけど……すこしだけ。■1.18:00以降■2.仮決定00:00／本決定01:00■3.墓下CO■4.怖い本って苦手なのに、何故かそんな本ほど手に取ってしまいますよね。世界の怖い話、怪談、拷問、お料理大百科……。,,,,,,,,,,,,,,,,,,,,,
50,50,プロローグ,司書クララ,,,,,,,,,,村人,シモンさんはこわがり、と。メモメモ。,,,,,,,,,,,,,,,,,,,,,
51,51,プロローグ,司書クララ,,,,,,,,,,村人,それではまた明日。無事に生きていましたらお会いしましょう。（ﾋｭｰﾄﾞﾛﾄﾞﾛﾄﾞﾛ）,,,,,,,,,,,,,,,,,,,,,
52,52,プロローグ,ならず者ディーター,,,,,,,,,,村人,おいおいお前らシモンいじめんなよ？>>48シモンおぅ、よく分からんが俺でよかったら守ってやるからそんな怯えんな。な？>>40ジムおぅ、今んとこ夏バテしてねーぜ。…ん？てことはシモンをこんな目に合わせたやつはどこのどいつだ？と言いつつ>>46俺も背後に危機を感じるぞ…？どうなってるんだこの村…>>49クララは料理が苦手なのか美味い食い物が苦手なのか…まぁまた後でな,,,,,,,,,,,,,,,,,,,,,
53,53,プロローグ,少年ペーター,,,,,,,,,,人狼,ただいまー。吸血鬼D伯爵の為、献血に行きました（前回献血は七夕）。でも、D伯爵は多忙なので、そっくりさんを連れて来ました。つ【間 寛平さん「血ぃ吸うたろか」】【状況確認】しました。壁←兵←者←妙←神←？（僕はジム兄貴の後ろに並べばいいかな？）悪魔くんに妖怪召喚する呪文を教えてもらったよ。[...は両手でダビデの星のマークを描いた]エロイム　エッサイム　エロイム　エッサイム,,,,,,,,,,,,,,,,,,,,,
54,54,プロローグ,少年ペーター,,,,,,,,,,人狼,エロイム　エッサッサ　エロイム　エッサッサ♪エッサ　エッサ　エッサッサ　エッサ　エッサ　エッサッサ　 エッサ　エッサ　エッサッサ　エッサ　エッサ　エッサッサ　＊（日本体育大学で行われている応援）我は　求め　（法廷闘争に）訴えたり！！↓>>55～>>9999で召喚されるよ、やったね。,,,,,,,,,,,,,,,,,,,,,
55,55,プロローグ,宿屋の女主人レジーナ,,,,,,,,,,村人,何なんだいあんたたち人の後ろに行列なんか作って,,,,,,,,,,,,,,,,,,,,,
56,56,プロローグ,ならず者ディーター,,,,,,,,,,村人,>>55レジおぉ、レジーナの塗り壁COか…一列になってんの見るとこう肩に手を乗せてだな…あれなんつったか…ジェンカか？>>53ペタ友達は選べよ、うん,,,,,,,,,,,,,,,,,,,,,
57,57,プロローグ,青年ヨアヒム,,,,,,,,,,占い師,うっかりすると全身に目が生えるけど怖くないよー。,,,,,,,,,,,,,,,,,,,,,
58,58,プロローグ,負傷兵シモン,,,,,,,,,,村人,>>50べ、別に怖がりな訳じゃないからな。勘違いすんなよ！リーザが不気味過ぎるだけだ。こんなん平気な奴いるわけないだろ面白そうな本だな。一冊借りてくな。［…はお料理大百科を手に取った］>>55レジーナの後ろ…？[壁]   (゜∇゜)！？,,,,,,,,,,,,,,,,,,,,,
59,59,プロローグ,青年ヨアヒム,,,,,,,,,,占い師,■1. 不定期だよー。■2. 仮0:15 本0:45でいいよ。■3.もう人狼じゃなくて悪い妖怪を狩らない？（何■4. 面白いことは大好きだよ。皆で楽しめるといいな。,,,,,,,,,,,,,,,,,,,,,
60,60,プロローグ,青年ヨアヒム,,,,,,,,,,占い師,>>58怖くないよシモン。（言いながら差し出す手のひらには目玉が…）,,,,,,,,,,,,,,,,,,,,,
61,61,プロローグ,負傷兵シモン,,,,,,,,,,村人,>>59悪い妖怪…？ 状況を整理してみようかリーザ：呪いの人形、カタリナ：唐傘お化け、レジーナ：塗り壁ペーター：黒魔法使い？、ジムゾン：河童クララ：？？？、ヨアヒム：もくもくれん……こんなにいる…！！で、でぃ、ディーターどーしよーー(((震))),,,,,,,,,,,,,,,,,,,,,
62,62,プロローグ,青年ヨアヒム,,,,,,,,,,占い師,>>61惜しい。僕は人型だから目目連でなく百々目鬼の方だよ。（ぉ>>56悪魔くんはいい子だよ。昔は知り合いが犬小屋で飼われてたなぁ。,,,,,,,,,,,,,,,,,,,,,
63,63,プロローグ,パン屋オットー,,,,,,,,,,霊能者,よろしくー,,,,,,,,,,,,,,,,,,,,,
64,64,プロローグ,パン屋オットー,,,,,,,,,,霊能者,1.10時以降2.仮12時半　本1時　くらい3.まったりやりましょ4.端的に言う方なので、たぶん寡黙気味です。,,,,,,,,,,,,,,,,,,,,,
65,65,プロローグ,宿屋の女主人レジーナ,,,,,,,,,,村人,レ、レジーナはぬりかべじゃないにゃん！とってもかわいいねこむすめなんだにゃん！………何よ、対抗いるならさっさと出てきなさいよ。画面の前のあなたでもいいのよ？,,,,,,,,,,,,,,,,,,,,,
66,66,プロローグ,木こりトーマス,,,,,,,,,,村人,またまた人が増えてるんだな！みんなよろしくなんだな。兵>>48　うーん、分かった。怖いことはしないようにするんだな。あと、ここの妖怪には悪い奴はいないと思うから、そんなに怖がる必要はないんだな。【宿のぬりかべCO確認】【非対抗なんだな】,,,,,,,,,,,,,,,,,,,,,
67,67,プロローグ,ならず者ディーター,,,,,,,,,,村人,また増えてんなーよろしく。なんか視線感じるぜ？俺には分かる、お前が俺と話したがってるのがな…村に入ろうか迷ってるやつ、どーんと俺の胸に飛び込んどけ>>62ヨア悪い友達じゃないなら安心だな。ヨアも顔が広いなぁ>>64オットーま、気負わず思った事喋れば皆お前さんの事わかってくれるさ>>65レジ…猫娘騙りとは…やるな！,,,,,,,,,,,,,,,,,,,,,
68,68,プロローグ,神父ジムゾン,,,,,,,,,,人狼,者>>52　アタシジムちゃん、あなたの後ろにいるの。シモちゃんは…案外ディタちゃんの所業だったりしないかしら？年>>53　兄貴とは失礼ねぇ…姉貴と呼んでほしいところだわ。ヨアちゃんは目の妖怪というやつかしら。よろしくね。オトちゃんは…人狼っていう妖怪の筆頭候補な気がするのよね。（ネタ）何はともあれ、新しく来た人たちはよろしくお願いするわ。【レジ姉御のぬりかべCOには非対抗よ】,,,,,,,,,,,,,,,,,,,,,
69,69,プロローグ,神父ジムゾン,,,,,,,,,,人狼,者>>67　あら、ディタちゃんのイケメンっぷりに惹かれているのが分かるのね。アタシもディタちゃんに惹かれてこの村まで追っかけてきたから分かるわ。アタシからもお願いよ、アタシたちに興味がある人はどんどん来て頂戴ね。さて、あと４時間もあるのでご飯を食べたりしてくるわね。あとは、ディタちゃんの気をひくためにお風呂で身を清めてくるわ。じゃあ、また後で覗きに来るわね。,,,,,,,,,,,,,,,,,,,,,
70,70,プロローグ,ならず者ディーター,,,,,,,,,,村人,>>68ジムなーんで俺の仕業になんだよ？心当たりなんか……うん、ねぇなオットーと並んでジムも妖怪人狼の筆頭候補だって俺の第六感が言ってるぜ？>>69なーんかさっきから寒気がすんだよなぁ…夏風邪か？さーて俺も飯食ってくるわ。お前らも暑いからって素麺ばっか食ってると夏バテするからな？気をつけろよー,,,,,,,,,,,,,,,,,,,,,
71,71,プロローグ,少年ペーター,,,,,,,,,,人狼,　　　　　　　 ∧＿∧　　　　　　∧_（∧ω＾ ）           ♪侵略　侵略　侵略　　　　　∧ ＾∧＾ ）　>　　　　　　　 侵略　侵略　侵略　ネコ娘～　　　　（ ＾∧＾_∧>/　　　　 　（ ＾∧＾__∧　　　　 　 ヽ（ ＾∧＾_∧　　　（（　　　< （　＾ω＾ ）　　））　　　　　　 　| <　　　　>　　　　　　　（_/　/ヽヽ　　　　　　　 （＿）　（__）,,,,,,,,,,,,,,,,,,,,,
72,72,プロローグ,少年ペーター,,,,,,,,,,人狼,折角１列に並んだので、「侵略　ネコ娘OP主題歌（侵略ノススメ☆）」をEXILE風に歌ってみたよ。【宿ネコ娘CO確認】【非対抗】こうなってくると、トマ兄貴が塗り壁なのか・・・、パッションで【KONISHIKI】だと思っていたんだけどね・・・。神>>68御免なさい・・・、次からはジム姉貴と呼ぶようにします。ちょっと献血の疲れが出てきたので、更新前後が厳しいかもしれません・・・。,,,,,,,,,,,,,,,,,,,,,
73,73,プロローグ,木こりトーマス,,,,,,,,,,村人,神>>68「オトちゃんは…人狼っていう妖怪の筆頭候補?」　それジムにだけは言われたくないと思うんだな(ネタって思ってたら、者>>70が出てて笑ったのだｗ……うん、とりあえず、みんな背後には気をつけるんだな！,,,,,,,,,,,,,,,,,,,,,
74,74,プロローグ,木こりトーマス,,,,,,,,,,村人,年>>72　僕はぬりかべじゃないんだな！レジは宿>>55でぬりかべ視点漏れしてるから、確ぬりかべでいいと思うんだな！あと、リアル大事になんだな。,,,,,,,,,,,,,,,,,,,,,
75,75,プロローグ,神父ジムゾン,,,,,,,,,,人狼,晩御飯を食べてきたわ。この時期は冷やしうどんが美味しいわね。ディタちゃんは夏風邪なのかしら？　看病してあげても良いわよ？（ﾁﾗｯ者>>70、樵>>73　あら奇遇ね、アタシも自分が人狼な気がするわ。（ネタ年>>72　よく間違えられるから気にしなくていいわよ。次から気を付けて貰えば大丈夫だし、ペタちゃんはかわいいから許すわ。かわいいは正義よ。献血の疲れが出ているとのことで、お大事にね。,,,,,,,,,,,,,,,,,,,,,
76,76,プロローグ,青年ヨアヒム,,,,,,,,,,占い師,ちょっと離れてる隙に皆来てたっとりあえず【宿猫娘非対抗】だよ。>>67視野が広いから色々見えるんだよ。それで知り合いが増えてねー。>>73僕は大丈夫、背後も見えるから。>>75僕はジムゾンは狼じゃない気がするなぁ、だって丁寧口調じゃない物。（ネタ,,,,,,,,,,,,,,,,,,,,,
77,77,プロローグ,負傷兵シモン,,,,,,,,,,村人,…？あれ？ディーターがいない…【レジーナの猫娘CO】確認でもそれは騙りなはず。>>55でレジーナは自分がぬりかべだって漏らしてるし占う必要はない。放置でＯＫだと思うん～他の人も言ってるけどジムゾンは狼っぽいかも。早めに占うほうがいいと思うジムゾンが黒かったらディーターへの擦寄りはライン偽装かな？,,,,,,,,,,,,,,,,,,,,,
78,78,プロローグ,木こりトーマス,,,,,,,,,,村人,兵>>77　素直に見たら者兵ラインなんだけど、ふむむ。うーん、シモンは人ならたぶんディタへの白ロックが強いように見えるんだな。そろそろ真猫娘がズサーしてくるはず……！(ﾁﾗｯ,,,,,,,,,,,,,,,,,,,,,
79,79,プロローグ,神父ジムゾン,,,,,,,,,,人狼,青>>76　おや、ヨアヒムさん。私が人狼でないとお思いですか。ジムゾンというだけで黒く見られがちなので、嬉しいですね。と、丁寧口調で黒アピをしておいたわ。そう仰るヨアヒムさんこそ人狼に見えなくもないわねぇ…。（ネタ兵>>77　反論したいけど、シモちゃんは白くて反論出来ないわねぇ。ディタちゃんはかっこいいから惚れてるだけよ、悪い？樵>>78　トマちゃんは冷静ね。真猫狼はまだかしら？,,,,,,,,,,,,,,,,,,,,,
80,80,プロローグ,青年ヨアヒム,,,,,,,,,,占い師,>>79やっぱり丁寧口調だとジムゾンは狼に見えるね。（ぉぃ大丈夫だよ、僕が狼ならすぐ尻尾が出てつかまるから。…あれ、僕が大丈夫じゃないな。（ぉぃ>>77いや、ちょっと待ってシモン。狼っぽいなら占いが勿体無くないかな。>>78うん、真・猫娘や、真・猫娘G、神・猫娘はまだかな。（ぇ,,,,,,,,,,,,,,,,,,,,,
81,81,プロローグ,宿屋の女主人レジーナ,,,,,,,,,,村人,...ﾄﾞｽﾝみんなからの壁塗りがひどいわね…ひどいにゃん！>>77>>78ライン考察：宿兵者妙神年まではラインつながってるわね。みんなもどんどんラインつないでいいのよ…いいにゃん！ま、狼なんか出たってアタシが潰してやるわよ(物理),,,,,,,,,,,,,,,,,,,,,
82,82,プロローグ,負傷兵シモン,,,,,,,,,,村人,>>78 >>79俺はディーターが黒くてもラインは維持するからな？ディーターが黒なら俺も黒くなる！>>80いや、即吊りでもいいとは思うけど…なんか占ったら溶けそうな気がするんだよなまぁ確白でまとめ役ってのもちょっと怖いし…やっぱり【▼ジムゾン】で猫娘…？俺は猫又の方がリアル猫に近くて嬉しい,,,,,,,,,,,,,,,,,,,,,
